"SHOP_ORDER_BO";"Unique count*(ITEM)";"Unique concatenate*(ITEM)"
"ShopOrderBO:0001,5199221";1;"72906691"
"ShopOrderBO:0001,5202591";1;"72319317"
"ShopOrderBO:0001,5203206";1;"72319317"
"ShopOrderBO:0001,5205407";1;"72319317"
"ShopOrderBO:0001,5208247";1;"72107427"
"ShopOrderBO:0001,5210056";1;"72319317"
"ShopOrderBO:0001,5211827";1;"72107427"
"ShopOrderBO:0001,5212237";1;"72906712"
"ShopOrderBO:0001,5212238";1;"72906731"
"ShopOrderBO:0001,5212877";1;"72906712"
"ShopOrderBO:0001,5213603";1;"72107533"
"ShopOrderBO:0001,5216340";1;"72107427"
"ShopOrderBO:0001,5216934";1;"72107427"
"ShopOrderBO:0001,5217927";1;"72319317"
"ShopOrderBO:0001,5218574";1;"72906712"
"ShopOrderBO:0001,5219234";1;"72107427"
"ShopOrderBO:0001,5219656";1;"72906712"
"ShopOrderBO:0001,5220389";1;"72906712"
"ShopOrderBO:0001,5220459";1;"72319317"
"ShopOrderBO:0001,5220460";1;"72107426"
"ShopOrderBO:0001,5221416";1;"80001568"
"ShopOrderBO:0001,5222094";1;"72906712"
"ShopOrderBO:0001,5223603";1;"72319317"
"ShopOrderBO:0001,5224108";1;"80000988"
"ShopOrderBO:0001,5224110";1;"80001343"
"ShopOrderBO:0001,5224368";1;"72319317"
"ShopOrderBO:0001,5225374";1;"72906712"
"ShopOrderBO:0001,5226957";1;"72906731"
"ShopOrderBO:0001,5226959";1;"72319317"
"ShopOrderBO:0001,5227181";1;"80001568"
"ShopOrderBO:0001,5227460";1;"80000988"
"ShopOrderBO:0001,5228925";1;"80000988"
"ShopOrderBO:0001,5229610";1;"72906712"
"ShopOrderBO:0001,5229863";1;"80000988"
"ShopOrderBO:0001,5229865";1;"80000988"
"ShopOrderBO:0001,5230106";1;"80001004"
"ShopOrderBO:0001,5230108";1;"80001005"
"ShopOrderBO:0001,5230687";1;"80000988"
"ShopOrderBO:0001,5231688";1;"80000988"
"ShopOrderBO:0001,5231883";1;"80001004"
"ShopOrderBO:0001,5231887";1;"72906712"
"ShopOrderBO:0001,5231893";1;"72319713"
"ShopOrderBO:0001,5232356";1;"80000988"
"ShopOrderBO:0001,5232358";1;"80000988"
"ShopOrderBO:0001,5232360";1;"80001002"
"ShopOrderBO:0001,5232694";1;"72906712"
"ShopOrderBO:0001,5233047";1;"72107533"
"ShopOrderBO:0001,5233354";1;"72906691"
"ShopOrderBO:0001,5233387";1;"80000988"
"ShopOrderBO:0001,5233389";1;"80000988"
"ShopOrderBO:0001,5233998";1;"80000988"
"ShopOrderBO:0001,5234193";1;"80001002"
"ShopOrderBO:0001,5234712";1;"80000988"
"ShopOrderBO:0001,5235292";1;"80001002"
"ShopOrderBO:0001,5235355";1;"80000988"
"ShopOrderBO:0001,5236219";1;"72906712"
"ShopOrderBO:0001,5236220";1;"72107426"
"ShopOrderBO:0001,5236221";1;"72319317"
"ShopOrderBO:0001,5236222";1;"72107433"
"ShopOrderBO:0001,5236223";1;"72906731"
"ShopOrderBO:0001,5236224";1;"72107433"
"ShopOrderBO:0001,5236225";1;"72107427"
